id,name,initials,role,connected,email,source,service,forWho,connectedOn,amber,amount
pdca2ca07,Kabira Verma,KV,parent,0,kabira.verma@gmail.com,From Community,,,,0,
pc01a0c8d,Leela Das,LD,student,1,leela.das@gmail.com,Visited profile,College shortlisting,,2026-08-11 04:45,0,1999
pba82f920,Neel Sharma,NS,student,1,neel.sharma@gmail.com,From Community,Parent consult,,2026-08-09 14:10,0,1999
pb2b0ac29,Priya Verma 64,P6,student,0,priya.verma.64@gmail.com,Recommended match,,,,1,
p689c538b,Aisha Singh,AS,student,1,aisha.singh@gmail.com,Visited profile,SOP review,,2026-09-23 16:00,0,1999
pc17416f4,Priya Iyer,PI,student,0,priya.iyer@gmail.com,From chat share,,,,0,
p30674e75,Aarav Das,AD,parent,0,aarav.das@gmail.com,From chat share,,,,0,
p707a552a,Tara Kapoor 49,T4,student,1,tara.kapoor.49@gmail.com,From Community,Visa readiness,,2026-09-13 00:15,0,1999
p68544316,Sohan Jain,SJ,student,0,sohan.jain@gmail.com,Visited profile,,,,0,
p33f9d84f,Diya Bhat,DB,student,0,diya.bhat@gmail.com,Visited profile,,,,0,
p98f358b5,Vivaan Nanda,VN,student,0,vivaan.nanda@gmail.com,From Community,,,,1,
peb642662,Om Jain,OJ,student,1,om.jain@gmail.com,Visited profile,,,2026-07-18 01:45,0,1999
p2dbd5d66,Pooja Menon,PM,student,0,pooja.menon@gmail.com,Visited profile,,,,1,
pf4f8ad1e,Kavita Menon,KM,student,0,kavita.menon@gmail.com,From Community,,,,1,
pe7bd540d,Sneha Bose,SB,student,0,sneha.bose@gmail.com,From Community,,,,0,
p663ada87,Aditi Bose,AB,parent,1,aditi.bose@gmail.com,From chat share,,For Dhruv Sharma,2026-09-13 12:50,0,1999
p9ee19545,Kriti Patel,KP,student,0,kriti.patel@gmail.com,Visited profile,,,,0,
p0a79c124,Meera Das,MD,student,0,meera.das@gmail.com,From Community,,,,0,
p9492adf4,Priya Kapoor,PK,parent,0,priya.kapoor@gmail.com,Visited profile,,,,0,
p5b56acdc,Sana Singh,SS,student,0,sana.singh@gmail.com,Visited profile,,,,0,
pe158c3c6,Myra Malhotra 34,M3,parent,0,myra.malhotra.34@gmail.com,Visited profile,,,,0,
p777ae14b,Tara Ahuja,TA,student,0,tara.ahuja@gmail.com,Visited profile,,,,0,
p6c7d0962,Rahul Singh,RS,parent,0,rahul.singh@gmail.com,Recommended match,,,,0,
pfa7744f0,Sana Ahuja,SA,student,0,sana.ahuja@gmail.com,Visited profile,,,,0,
p60d78c05,Arjun Ahuja,AA,student,0,arjun.ahuja@gmail.com,From chat share,,,,0,
p29a7ba5e,Isha Malhotra,IM,student,0,isha.malhotra@gmail.com,From chat share,,,,0,
p78f0e862,Om Banerjee,OB,student,0,om.banerjee@gmail.com,From chat share,,,,0,
pf0e7efdb,Arjun Trivedi,AT,student,0,arjun.trivedi@gmail.com,Visited profile,,,,0,
pe35d54c2,Sana Khan,SK,student,0,sana.khan@gmail.com,Recommended match,,,,0,
p1a154a3d,Vivaan Iyer,VI,student,0,vivaan.iyer@gmail.com,Visited profile,,,,0,
p37b7ad75,Reyansh Mehta,RM,parent,0,reyansh.mehta@gmail.com,Recommended match,,,,1,
peda519a0,Arjun Bose 27,A2,parent,1,arjun.bose.27@gmail.com,Visited profile,,,2026-09-05 06:45,0,1999
pe232bb57,Yash Singh,YS,student,0,yash.singh@gmail.com,Visited profile,,,,0,
p35f9b8c2,Anika Gupta,AG,student,1,anika.gupta@gmail.com,Recommended match,,,2026-07-09 08:40,0,1999
pa31700ca,Dhruv Jain,DJ,parent,0,dhruv.jain@gmail.com,From chat share,,,,1,
pb7d17f76,Naina Verma,NV,student,0,naina.verma@gmail.com,Recommended match,,,,0,
p4c1d3b1a,Dev Khan,DK,parent,0,dev.khan@gmail.com,From Community,,,,0,
p9023d23d,Veer Banerjee,VB,student,0,veer.banerjee@gmail.com,From chat share,,,,0,
p08446ffc,Kiara Jain,KJ,student,0,kiara.jain@gmail.com,From chat share,,,,0,
p4b1a7453,Kavita Kulkarni,KK,student,0,kavita.kulkarni@gmail.com,From chat share,,,,0,
p1fc09195,Aisha Sharma,AS,student,0,aisha.sharma@gmail.com,From Community,,,,0,
p233ef1c2,Vikram Khan,VK,parent,0,vikram.khan@gmail.com,Visited profile,,,,0,
p11435c17,Sana Jain,SJ,student,1,sana.jain@gmail.com,Recommended match,Parent consult,,2026-09-08 05:30,1,1999
p376c2158,Riya Nair,RN,student,0,riya.nair@gmail.com,Visited profile,,,,0,
p4c29ca29,Jia Malhotra,JM,student,0,jia.malhotra@gmail.com,Visited profile,,,,0,
pbfe0d418,Naina Reddy,NR,student,0,naina.reddy@gmail.com,Visited profile,,,,0,
p34a0a509,Aarav Joshi,AJ,student,0,aarav.joshi@gmail.com,From Community,,,,0,
p7e5ff590,Pooja Rao,PR,student,0,pooja.rao@gmail.com,Recommended match,,,,0,
pb31db811,Aditi Gupta,AG,student,0,aditi.gupta@gmail.com,From Community,,,,1,
pe5faf467,Karan Ahuja,KA,student,0,karan.ahuja@gmail.com,Recommended match,,,,1,
p766ea8da,Yash Agarwal,YA,parent,0,yash.agarwal@gmail.com,Visited profile,,,,1,
pfe2cb5a3,Harsh Pillai,HP,student,1,harsh.pillai@gmail.com,Visited profile,,,2026-08-07 21:50,1,1999
p87964a3c,Yash Iyer,YI,parent,0,yash.iyer@gmail.com,Visited profile,,,,1,
pc9e1495c,Sana Mehta,SM,student,0,sana.mehta@gmail.com,From chat share,,,,0,
p5437f79d,Pooja Sharma,PS,student,0,pooja.sharma@gmail.com,From chat share,,,,0,
p15bcb671,Jia Joshi,JJ,student,1,jia.joshi@gmail.com,From chat share,,,2026-07-14 16:10,1,1999
pc724f5ce,Meera Bose,MB,student,1,meera.bose@gmail.com,From Community,SOP review,,2026-09-03 11:45,0,1999
p4b24617e,Dev Pillai,DP,student,0,dev.pillai@gmail.com,Visited profile,,,,0,
pf1788bc2,Rahul Iyer 79,R7,student,0,rahul.iyer.79@gmail.com,From chat share,,,,1,
pd9cd4f19,Kavita Trivedi,KT,parent,1,kavita.trivedi@gmail.com,Visited profile,Parent consult,,2026-09-13 11:35,0,1999
peca30316,Arnav Malhotra,AM,parent,0,arnav.malhotra@gmail.com,From chat share,,,,0,
p05d104d0,Ananya Desai,AD,student,0,ananya.desai@gmail.com,Visited profile,,,,0,
p32b662ca,Dev Menon,DM,student,0,dev.menon@gmail.com,Visited profile,,,,0,
p219d1a14,Nikhil Ahuja,NA,student,0,nikhil.ahuja@gmail.com,From Community,,,,0,
p6fc9f3c5,Pooja Ghosh,PG,student,0,pooja.ghosh@gmail.com,From Community,,,,0,
pdb10ec9d,Yash Desai,YD,parent,1,yash.desai@gmail.com,From chat share,Parent consult,For Tara Bhat,2026-09-21 17:00,0,1999
p869d25b4,Nikhil Ghosh,NG,student,0,nikhil.ghosh@gmail.com,From Community,,,,0,
pdacf81e8,Ravi Sharma,RS,student,0,ravi.sharma@gmail.com,Visited profile,,,,0,
ped462f71,Reyansh Ahuja,RA,student,1,reyansh.ahuja@gmail.com,Recommended match,,,2026-09-18 15:25,1,1999
pd55a7d70,Riya Joshi,RJ,student,0,riya.joshi@gmail.com,Visited profile,,,,0,
p763e2c28,Naina Jain,NJ,student,1,naina.jain@gmail.com,Recommended match,,,2026-09-23 16:00,1,1999
p586d08bf,Kiara Singh,KS,student,0,kiara.singh@gmail.com,From Community,,,,0,
pfb2469f4,Kabira Desai,KD,student,0,kabira.desai@gmail.com,From chat share,,,,1,
p47626015,Aditi Patel,AP,student,0,aditi.patel@gmail.com,Visited profile,,,,0,
p554a661f,Sneha Rao,SR,student,0,sneha.rao@gmail.com,Visited profile,,,,0,
pb77d11ba,Karan Joshi,KJ,student,0,karan.joshi@gmail.com,Visited profile,,,,0,
p56fc3905,Dev Kulkarni,DK,student,1,dev.kulkarni@gmail.com,Recommended match,,,2026-06-28 16:30,0,1999
p48973857,Kabir Malhotra 96,K9,student,0,kabir.malhotra.96@gmail.com,Visited profile,,,,0,
pd29b92f1,Manav Banerjee,MB,student,1,manav.banerjee@gmail.com,From Community,SOP review,,2026-07-28 20:05,0,1999
p8e5aa9bd,Arjun Reddy,AR,student,1,arjun.reddy@gmail.com,Recommended match,College shortlisting,,2026-08-24 07:25,0,1999
p1db414cf,Naina Nanda,NN,student,0,naina.nanda@gmail.com,From Community,,,,1,
p2f10f37e,Aarav Pillai,AP,student,0,aarav.pillai@gmail.com,From Community,,,,0,
p36052312,Jia Sharma,JS,student,0,jia.sharma@gmail.com,From Community,,,,0,
p8557bc4d,Harsh Gupta,HG,parent,0,harsh.gupta@gmail.com,Visited profile,,,,1,
pa0c7c99d,Neel Menon,NM,student,0,neel.menon@gmail.com,From chat share,,,,0,
p5cd1e1ce,Dev Rao,DR,student,0,dev.rao@gmail.com,Recommended match,,,,0,
pf6861319,Aditi Bhat,AB,student,0,aditi.bhat@gmail.com,From Community,,,,0,
pffc096fe,Ishaan Singh 41,I4,student,1,ishaan.singh.41@gmail.com,Recommended match,,,2026-08-12 02:30,1,1999
p7013c59b,Anvi Malhotra,AM,student,0,anvi.malhotra@gmail.com,From chat share,,,,1,
pd401accb,Rohan Iyer 72,R7,parent,1,rohan.iyer.72@gmail.com,From Community,Essay workshop,For Sohan Bose,2026-08-01 11:30,0,1999
pcafa803e,Nisha Desai,ND,student,1,nisha.desai@gmail.com,Visited profile,Visa readiness,,2026-08-11 19:10,0,1999
p7618ddf4,Aisha Pillai,AP,student,0,aisha.pillai@gmail.com,Visited profile,,,,0,
pd9115cdb,Tara Bose,TB,student,0,tara.bose@gmail.com,Recommended match,,,,0,
p544f37ef,Tanvi Kapoor,TK,parent,0,tanvi.kapoor@gmail.com,Visited profile,,,,0,
pc5344db5,Myra Agarwal,MA,student,1,myra.agarwal@gmail.com,From chat share,,,2026-07-18 23:40,0,1999
pd4ec667f,Vikram Verma,VV,student,0,vikram.verma@gmail.com,From Community,,,,0,
p2869822a,Nikhil Kulkarni,NK,student,0,nikhil.kulkarni@gmail.com,From chat share,,,,1,
p71432053,Sahil Ghosh,SG,student,0,sahil.ghosh@gmail.com,Recommended match,,,,1,
p373ddf2c,Anvi Ahuja,AA,student,0,anvi.ahuja@gmail.com,Recommended match,,,,0,
p1aa7f2e8,Om Gupta,OG,student,0,om.gupta@gmail.com,From chat share,,,,0,
p0b03847a,Ishaan Singh 83,I8,student,0,ishaan.singh.83@gmail.com,From chat share,,,,0,
pc773ae97,Pooja Mehta,PM,student,1,pooja.mehta@gmail.com,Recommended match,Pathway consult,,2026-09-08 18:40,0,1999
p95495ca2,Nisha Ahuja,NA,student,0,nisha.ahuja@gmail.com,From chat share,,,,0,
p952d8d46,Yash Nair,YN,student,0,yash.nair@gmail.com,Visited profile,,,,0,
p0309d51b,Harsh Saxena,HS,student,0,harsh.saxena@gmail.com,Recommended match,,,,0,
p6e435801,Tara Khan,TK,student,1,tara.khan@gmail.com,Visited profile,,,2026-09-08 14:20,0,1999
peceb7727,Ira Bhat,IB,parent,0,ira.bhat@gmail.com,Recommended match,,,,1,
pb23a2b16,Nisha Khan,NK,student,0,nisha.khan@gmail.com,From Community,,,,1,
p881e2c13,Aisha Banerjee,AB,student,0,aisha.banerjee@gmail.com,From Community,,,,0,
p0e62af5e,Aarav Rao,AR,student,0,aarav.rao@gmail.com,Recommended match,,,,0,
p2853750c,Dev Khan 17,D1,student,1,dev.khan.17@gmail.com,Visited profile,,,2026-08-12 08:30,0,1999
pf0b093e4,Arnav Sharma,AS,student,0,arnav.sharma@gmail.com,From Community,,,,0,
p6cf2bb91,Yash Rao,YR,parent,1,yash.rao@gmail.com,Recommended match,,,2026-08-28 03:10,1,1999
p8315dd0a,Tanvi Sharma,TS,student,0,tanvi.sharma@gmail.com,From Community,,,,0,
pa2392abb,Kriti Sharma,KS,student,0,kriti.sharma@gmail.com,From chat share,,,,0,
pdd3481b8,Ishaan Pillai,IP,student,0,ishaan.pillai@gmail.com,From Community,,,,1,
pc5f11f34,Tara Gupta,TG,student,0,tara.gupta@gmail.com,From chat share,,,,0,
p9ce1386a,Yash Agarwal 43,Y4,student,0,yash.agarwal.43@gmail.com,Recommended match,,,,1,
pe3cee1ba,Anika Bose,AB,student,0,anika.bose@gmail.com,From Community,,,,0,
p6d1da681,Sneha Desai,SD,student,0,sneha.desai@gmail.com,From Community,,,,0,
p1feed169,Kabira Nanda,KN,student,1,kabira.nanda@gmail.com,From Community,Essay workshop,,2026-07-11 02:35,0,1999
p2b8ca32f,Ananya Saxena,AS,student,1,ananya.saxena@gmail.com,Visited profile,,,2026-07-26 11:25,1,1999
p4c7d4007,Neel Singh,NS,student,0,neel.singh@gmail.com,From chat share,,,,1,
pcec9b2ba,Priya Mehta,PM,student,0,priya.mehta@gmail.com,Recommended match,,,,1,
p396472bb,Karan Saxena,KS,student,0,karan.saxena@gmail.com,Recommended match,,,,0,
pd1755c5e,Aisha Desai,AD,student,0,aisha.desai@gmail.com,From Community,,,,0,
pd4499a44,Reyansh Nair,RN,student,0,reyansh.nair@gmail.com,From chat share,,,,0,
p3b74854c,Aditi Kulkarni,AK,parent,0,aditi.kulkarni@gmail.com,Visited profile,,,,0,
p9b493e15,Arnav Saxena,AS,parent,1,arnav.saxena@gmail.com,Recommended match,College shortlisting,For Jia Trivedi,2026-08-07 19:20,0,1999
p17f7887b,Nikhil Nanda,NN,student,0,nikhil.nanda@gmail.com,From chat share,,,,0,
p031345ff,Om Iyer,OI,parent,0,om.iyer@gmail.com,From Community,,,,0,
p61445ec6,Sahil Bose,SB,student,0,sahil.bose@gmail.com,Recommended match,,,,1,
p6d0727f4,Aisha Sharma 60,A6,student,1,aisha.sharma.60@gmail.com,From chat share,,,2026-07-17 17:05,0,1999
p1544cb5a,Sahil Rao,SR,parent,0,sahil.rao@gmail.com,Recommended match,,,,0,
p421add09,Ishaan Trivedi,IT,student,0,ishaan.trivedi@gmail.com,Visited profile,,,,0,
pc42b9e12,Arjun Malhotra,AM,student,0,arjun.malhotra@gmail.com,From chat share,,,,1,
pacafef8e,Anika Pillai,AP,student,0,anika.pillai@gmail.com,From chat share,,,,0,
pba7c5451,Meera Ghosh,MG,student,0,meera.ghosh@gmail.com,Visited profile,,,,0,
pb7d83896,Sahil Bhat,SB,student,1,sahil.bhat@gmail.com,Visited profile,,,2026-08-02 09:15,0,1999
p07508dc2,Nisha Bhat,NB,student,0,nisha.bhat@gmail.com,Visited profile,,,,0,
p376208b2,Aisha Malhotra,AM,student,0,aisha.malhotra@gmail.com,From chat share,,,,0,
pfae0a1f7,Leela Ahuja,LA,student,0,leela.ahuja@gmail.com,From Community,,,,0,
p92c5f632,Kabira Kapoor,KK,student,0,kabira.kapoor@gmail.com,Recommended match,,,,0,
p95a38479,Kiara Nanda,KN,parent,0,kiara.nanda@gmail.com,Recommended match,,,,0,
p162733fa,Om Malhotra,OM,parent,0,om.malhotra@gmail.com,From chat share,,,,0,
p87bd2314,Manav Verma,MV,student,0,manav.verma@gmail.com,Visited profile,,,,0,
p221f3037,Sneha Menon 39,S3,student,0,sneha.menon.39@gmail.com,From Community,,,,1,
pdca75f9a,Tanvi Nanda 98,T9,student,0,tanvi.nanda.98@gmail.com,From Community,,,,0,
p313f92dc,Harsh Saxena 73,H7,student,0,harsh.saxena.73@gmail.com,Visited profile,,,,1,
p3564a040,Tara Das,TD,student,0,tara.das@gmail.com,From Community,,,,0,
p08682fac,Ishaan Patel,IP,student,0,ishaan.patel@gmail.com,From chat share,,,,1,
pa19cc5fa,Aditi Gupta 5,A5,student,0,aditi.gupta.5@gmail.com,From Community,,,,0,
p1603934d,Reyansh Bose,RB,student,0,reyansh.bose@gmail.com,Recommended match,,,,0,
pc0fd4fa1,Naina Trivedi,NT,student,1,naina.trivedi@gmail.com,Recommended match,College shortlisting,,2026-07-10 09:50,0,1999
p8d010c60,Ayaan Das,AD,parent,0,ayaan.das@gmail.com,From Community,,,,1,
pf66a277f,Yash Joshi,YJ,student,0,yash.joshi@gmail.com,Visited profile,,,,0,
p41f44a6e,Pooja Pillai,PP,student,1,pooja.pillai@gmail.com,From chat share,College shortlisting,,2026-08-29 06:40,0,1999
pe1b4052c,Reyansh Singh,RS,student,0,reyansh.singh@gmail.com,Visited profile,,,,0,
p20026192,Riya Khan,RK,student,0,riya.khan@gmail.com,From Community,,,,0,
pcc815c51,Sahil Joshi,SJ,student,0,sahil.joshi@gmail.com,Recommended match,,,,0,
pf5cf3583,Harsh Sharma,HS,student,1,harsh.sharma@gmail.com,Visited profile,,,2026-08-14 19:55,0,1999
pfc4142d3,Leela Malhotra,LM,student,0,leela.malhotra@gmail.com,Recommended match,,,,1,
p49710f9d,Karan Bose,KB,student,0,karan.bose@gmail.com,Recommended match,,,,1,
pb42031d3,Anvi Rao,AR,student,1,anvi.rao@gmail.com,From chat share,,,2026-09-23 02:45,0,1999
pd4b5483d,Neel Menon 78,N7,parent,0,neel.menon.78@gmail.com,From chat share,,,,1,
ped29dab0,Isha Rao,IR,student,1,isha.rao@gmail.com,Visited profile,,,2026-07-26 16:40,1,1999
p64ead05b,Aarav Joshi 32,A3,student,1,aarav.joshi.32@gmail.com,Recommended match,SOP review,,2026-08-18 05:30,0,1999
p3e55bd24,Manav Das,MD,student,0,manav.das@gmail.com,Visited profile,,,,0,
p3570779c,Kriti Pillai,KP,parent,0,kriti.pillai@gmail.com,Visited profile,,,,0,
p3f7e6cb9,Sohan Kulkarni,SK,student,0,sohan.kulkarni@gmail.com,Recommended match,,,,0,
p56f3f7cf,Yash Chawla,YC,student,1,yash.chawla@gmail.com,From chat share,Pathway consult,,2026-07-31 16:10,0,1999
p186fe821,Ananya Gupta,AG,student,0,ananya.gupta@gmail.com,From chat share,,,,0,
p629a4c8b,Sana Banerjee,SB,parent,1,sana.banerjee@gmail.com,Visited profile,,,2026-08-17 07:40,0,1999
p12039013,Anika Banerjee,AB,student,0,anika.banerjee@gmail.com,Visited profile,,,,0,
pa9f98951,Ananya Menon,AM,student,0,ananya.menon@gmail.com,Visited profile,,,,0,
p0ea82a87,Dhruv Rao,DR,student,1,dhruv.rao@gmail.com,Recommended match,SOP review,,2026-07-02 01:45,0,1999
p17366e1b,Yash Patel,YP,student,1,yash.patel@gmail.com,From chat share,Parent consult,,2026-09-14 07:15,0,1999
p958037ff,Neel Ahuja,NA,student,1,neel.ahuja@gmail.com,Visited profile,,,2026-08-12 02:50,1,1999
p0ffef513,Ananya Kulkarni,AK,student,0,ananya.kulkarni@gmail.com,From chat share,,,,0,
p1094f8aa,Ishaan Rao,IR,student,0,ishaan.rao@gmail.com,From Community,,,,0,
p97d7dd2a,Leela Bhat,LB,student,0,leela.bhat@gmail.com,From Community,,,,1,
pb1f62faf,Nisha Banerjee,NB,student,1,nisha.banerjee@gmail.com,From Community,SOP review,,2026-07-21 20:00,0,1999
p954095a0,Aditi Saxena 15,A1,student,0,aditi.saxena.15@gmail.com,From Community,,,,1,
pad53d8a8,Vikram Pillai,VP,student,0,vikram.pillai@gmail.com,Visited profile,,,,0,
p3737b5c8,Dhruv Ghosh,DG,student,0,dhruv.ghosh@gmail.com,From Community,,,,0,
p84e0469c,Zara Agarwal,ZA,student,0,zara.agarwal@gmail.com,From chat share,,,,1,
p361a6aff,Vikram Desai,VD,student,0,vikram.desai@gmail.com,From Community,,,,0,
pcb36c9b6,Om Saxena,OS,parent,0,om.saxena@gmail.com,From Community,,,,1,
p8f5d0a91,Vivaan Chawla,VC,student,1,vivaan.chawla@gmail.com,Recommended match,Pathway consult,,2026-09-04 17:05,0,1999
p686fcab0,Karan Iyer,KI,student,0,karan.iyer@gmail.com,Visited profile,,,,0,
p391ef1db,Myra Banerjee,MB,parent,1,myra.banerjee@gmail.com,From Community,Essay workshop,For Ravi Sharma,2026-09-19 09:00,0,1999
p99bc3448,Nikhil Gupta,NG,student,0,nikhil.gupta@gmail.com,Recommended match,,,,1,
p041854b2,Kriti Das,KD,student,1,kriti.das@gmail.com,From chat share,,,2026-07-21 01:00,0,1999
p314c80d6,Manav Ahuja,MA,student,0,manav.ahuja@gmail.com,Recommended match,,,,0,
p7372a83a,Jia Reddy,JR,student,0,jia.reddy@gmail.com,From chat share,,,,0,
pd9aec628,Anvi Sharma,AS,student,1,anvi.sharma@gmail.com,From Community,Pathway consult,,2026-09-22 06:10,1,1999
p13238bce,Anika Rao,AR,student,0,anika.rao@gmail.com,Recommended match,,,,0,
pa0c043f6,Diya Nair,DN,student,0,diya.nair@gmail.com,From chat share,,,,0,
pd2f1e39b,Yash Agarwal 11,Y1,student,0,yash.agarwal.11@gmail.com,Visited profile,,,,0,
p7430ef89,Arnav Chawla,AC,student,1,arnav.chawla@gmail.com,From chat share,Visa readiness,,2026-08-13 18:55,1,1999
